 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2022/08/05 12:08
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

1996/01/11  00:14:36    267     18    499 
1996/01/13  22:08:30    265     16    290 
1996/01/15  07:01:10    262     43    525 
1996/01/22  03:11:01    105     37    267 
1996/01/26  09:16:19     90     27    262 
1996/01/31  06:52:13    274     47    158 
1996/02/03  00:07:03     83     52    306 
1996/02/08  05:17:49    263     70    184 
1996/02/12  05:47:26     91     53    160 
1996/02/17  02:06:31    279     73    317 
1996/02/17  05:18:59     86     36    171 
1996/02/19  05:15:48     98     30    266 
1996/03/02  04:11:53     88     36    108 
1996/03/03  04:12:30     99     26    186 
1996/03/06  05:38:36    268     55    175 
1996/03/07  01:00:19     57     39    200 
1996/03/07  07:51:56     91     43     60 
1996/03/08  07:12:03     90     19    170 
1996/03/09  04:27:49     84     39     93 
1996/03/11  18:22:39     86     52    244 
1996/03/13  02:42:06    105     17    130 
1996/03/14  09:38:00    101     22     74 
1996/03/14  11:44:18    285     59    418 
1996/03/15  13:54:27    101     26    222 
1996/03/15  23:57:34     76     29     71 
1996/03/16  02:03:38    262     27     65 
1996/03/18  02:45:52     94     22   ---- 
1996/03/18  08:33:09    276     25    158 
1996/03/18  16:26:43    257     32   ---- 
1996/03/22  00:48:44    282     17    142 
1996/04/02  02:36:21    267     37    192 
1996/04/03  14:30:40    257     36   ---- 
1996/04/05  06:11:28    273     47    323 
1996/04/06  00:51:12    268     37    293 
1996/04/07  06:59:24    258     42    324 
1996/04/08  01:03:21    266     29    314 
1996/04/08  04:12:26    258     15    124 
1996/04/08  07:53:42    105     22    128 
1996/04/11  11:17:09     88     49    272 
1996/04/12  04:45:24    275     57    100 
1996/04/13  00:52:12    265     39    157 
1996/04/13  04:02:02    262     46    114 
1996/04/15  03:00:25     98     22     97 
1996/04/15  10:53:48    282     17   ---- 
1996/04/17  09:49:57     94     13    225 
1996/04/25  11:30:16    272     68    186 
1996/04/29  14:38:48   Halo    360     65 
1996/04/30  13:43:42     92     56    112 
1996/05/01  08:41:46     94     95    314 
1996/05/02  01:55:35     85     83    226 
1996/05/02  23:07:21     88     43    224 
1996/05/03  11:30:47     92     62    325 
1996/05/05  07:02:06     92     56    373 
1996/05/05  20:36:33     94     69    388 
1996/05/06  09:42:38     88     73    430 
1996/05/11  08:31:10    268     58    476 
1996/05/14  02:57:22     79     54    304 
1996/05/16  15:16:21    270     52    310 
1996/05/18  17:07:38    272     68    269 
1996/05/22  02:55:40     97     42    221 
1996/05/22  06:48:33    271     23    178 
1996/05/25  02:58:36    254     30    190 
1996/06/06  23:30:34    274     53    414 
1996/06/16  11:10:53     87     61    237 
1996/06/17  02:23:41     85     55    304 
1996/06/18  03:25:15    239     41     44 
1996/06/18  17:28:50     84     95     64 
1996/06/19  11:59:44     90     57    214 
1996/06/22  00:39:09     97     41    256 
1996/06/23  23:39:16     82      8    193 
1996/07/01  13:50:46    271     52    359 
1996/07/04  19:41:29    262     44    300 
1996/07/05  21:21:21    264     47    177 
1996/07/07  05:03:30    245     34     65 
1996/07/08  06:28:50    259     35    264 
1996/07/09  12:28:18    273     86    452 
1996/07/10  07:28:36    254     35    227 
1996/07/12  02:14:18     87     35    119 
1996/07/12  07:38:24    265     34    435 
1996/07/12  15:37:40    260     68   1085 
1996/07/13  02:51:34    201      6   ---- 
1996/07/14  15:17:50    267     50    660 
1996/07/15  10:46:51    273     43    632 
1996/07/15  22:26:35    241     31    240 
1996/07/16  02:19:53    278     47    602 
1996/07/16  08:27:12    228     17    230 
1996/07/17  05:20:07    280     34    304 
1996/07/17  12:10:43    279     28    320 
1996/07/17  16:01:17     94     47    310 
1996/07/20  09:28:16     31    175    246 
1996/07/28  04:10:07    267     56    126 
1996/07/28  19:33:02    123     28    145 
1996/07/29  17:06:44    268     53    190 
1996/08/01  12:36:35    274     35    499 
1996/08/01  18:12:21    210     82    118 
1996/08/03  19:45:37    231     26     71 
1996/08/07  13:15:05    242     27   ---- 
1996/08/10  09:25:05     68     68    148 
1996/08/10  16:55:05    290     42    413 
1996/08/12  16:16:56     89     37    210 
1996/08/13  07:15:05    259     92    298 
1996/08/13  16:09:18    258    153    620 
1996/08/14  07:26:22    204    169    244 
1996/08/14  19:30:09    229    235    691 
1996/08/15  21:00:05    123     69    156 
1996/08/16  14:14:06   Halo    360    364 
1996/08/19  11:18:27    127     82    406 
1996/08/20  02:00:06    121     23    256 
1996/08/20  11:10:05    275     42    172 
1996/08/21  22:48:51    291     41    286 
1996/08/22  08:38:43     91    125    979 
1996/09/02  09:45:05     66     13    571 
1996/09/03  06:25:10    246     52     56 
1996/09/03  23:10:10     86     31    260 
1996/09/04  23:05:05    243     13    255 
1996/09/07  09:57:08    294      8    127 
1996/09/08  12:45:06     93     46    195 
1996/09/09  01:50:06    246     63    146 
1996/09/09  07:10:06    285     61    245 
1996/09/17  11:10:05    266     27    410 
1996/09/17  20:50:08    269     15     71 
1996/09/18  00:10:05    285     59    191 
1996/09/19  06:20:05    248     28    120 
1996/09/20  04:35:08    244     19    128 
1996/09/20  18:50:56     75     33    274 
1996/09/22  02:01:58     70     32    188 
1996/09/24  12:52:05     73     40    250 
1996/09/26  05:05:05    205    103    201 
1996/09/27  11:42:05    277     17    276 
1996/09/29  07:09:37    313     32    164 
1996/10/01  00:20:05    258     52    320 
1996/10/04  03:15:05    299     28    355 
1996/10/05  09:37:05    228    247    569 
